Ýyl,Ugur,Kwota,Hünär
2015,1. Matematika we tebigy ylymlar,149.0,Bakalawr
2015,1. Matematika we tebigy ylymlar,466.0,Hünärmen
2015,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",188.0,Bakalawr
2015,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1699.0,Hünärmen
2015,3. Saglygy goraýyş we lukmançylyk ylymlary,497.0,Hünärmen
2015,4. Oba hojalygy we oba hojalyk ylymlary,555.0,Hünärmen
2015,5. Jemgyýet baradaky ylymlar,407.0,Bakalawr
2015,5. Jemgyýet baradaky ylymlar,1157.0,Hünärmen
2015,6. Bilim we pedagogika (mugallymçylyk) ylymlary,50.0,Bakalawr
2015,6. Bilim we pedagogika (mugallymçylyk) ylymlary,382.0,Hünärmen
2015,7. Ynsanperwer ylymlar,256.0,Bakalawr
2015,7. Ynsanperwer ylymlar,910.0,Hünärmen
2015,8. Sungat we medeniýet,412.0,Hünärmen
2016,1. Matematika we tebigy ylymlar,35.0,Bakalawr
2016,1. Matematika we tebigy ylymlar,470.0,Hünärmen
2016,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",516.0,Bakalawr
2016,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1746.0,Hünärmen
2016,3. Saglygy goraýyş we lukmançylyk ylymlary,573.0,Hünärmen
2016,4. Oba hojalygy we oba hojalyk ylymlary,0.0,Bakalawr
2016,4. Oba hojalygy we oba hojalyk ylymlary,555.0,Hünärmen
2016,5. Jemgyýet baradaky ylymlar,286.0,Bakalawr
2016,5. Jemgyýet baradaky ylymlar,1134.0,Hünärmen
2016,6. Bilim we pedagogika (mugallymçylyk) ylymlary,422.0,Hünärmen
2016,7. Ynsanperwer ylymlar,21.0,Bakalawr
2016,7. Ynsanperwer ylymlar,1090.0,Hünärmen
2016,8. Sungat we medeniýet,0.0,Bakalawr
2016,8. Sungat we medeniýet,408.0,Hünärmen
2017,1. Matematika we tebigy ylymlar,735.0,Hünärmen
2017,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",91.0,Bakalawr
2017,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2618.0,Hünärmen
2017,3. Saglygy goraýyş we lukmançylyk ylymlary,573.0,Hünärmen
2017,4. Oba hojalygy we oba hojalyk ylymlary,555.0,Hünärmen
2017,5. Jemgyýet baradaky ylymlar,101.0,Bakalawr
2017,5. Jemgyýet baradaky ylymlar,1659.0,Hünärmen
2017,6. Bilim we pedagogika (mugallymçylyk) ylymlary,75.0,Hünärmen
2017,7. Ynsanperwer ylymlar,0.0,Bakalawr
2017,7. Ynsanperwer ylymlar,1492.0,Hünärmen
2017,8. Sungat we medeniýet,409.0,Hünärmen
2018,1. Matematika we tebigy ylymlar,35.0,Bakalawr
2018,1. Matematika we tebigy ylymlar,591.0,Hünärmen
2018,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",594.0,Bakalawr
2018,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2320.0,Hünärmen
2018,3. Saglygy goraýyş we lukmançylyk ylymlary,573.0,Hünärmen
2018,4. Oba hojalygy we oba hojalyk ylymlary,0.0,Bakalawr
2018,4. Oba hojalygy we oba hojalyk ylymlary,605.0,Hünärmen
2018,5. Jemgyýet baradaky ylymlar,345.0,Bakalawr
2018,5. Jemgyýet baradaky ylymlar,1429.0,Hünärmen
2018,6. Bilim we pedagogika (mugallymçylyk) ylymlary,500.0,Hünärmen
2018,7. Ynsanperwer ylymlar,20.0,Bakalawr
2018,7. Ynsanperwer ylymlar,1387.0,Hünärmen
2018,8. Sungat we medeniýet,0.0,Bakalawr
2018,8. Sungat we medeniýet,451.0,Hünärmen
2019,1. Matematika we tebigy ylymlar,121.0,Bakalawr
2019,1. Matematika we tebigy ylymlar,1636.0,Hünärmen
2019,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",778.0,Bakalawr
2019,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2769.0,Hünärmen
2019,3. Saglygy goraýyş we lukmançylyk ylymlary,647.0,Hünärmen
2019,4. Oba hojalygy we oba hojalyk ylymlary,0.0,Bakalawr
2019,4. Oba hojalygy we oba hojalyk ylymlary,745.0,Hünärmen
2019,5. Jemgyýet baradaky ylymlar,527.0,Bakalawr
2019,5. Jemgyýet baradaky ylymlar,2014.0,Hünärmen
2019,6. Bilim we pedagogika (mugallymçylyk) ylymlary,150.0,Hünärmen
2019,7. Ynsanperwer ylymlar,20.0,Bakalawr
2019,7. Ynsanperwer ylymlar,2336.0,Hünärmen
2019,8. Sungat we medeniýet,0.0,Bakalawr
2019,8. Sungat we medeniýet,499.0,Hünärmen
2020,1. Matematika we tebigy ylymlar,195.0,Bakalawr
2020,1. Matematika we tebigy ylymlar,1201.0,Hünärmen
2020,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",959.0,Bakalawr
2020,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3802.0,Hünärmen
2020,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0,Hünärmen
2020,4. Oba hojalygy we oba hojalyk ylymlary,90.0,Bakalawr
2020,4. Oba hojalygy we oba hojalyk ylymlary,610.0,Hünärmen
2020,5. Jemgyýet baradaky ylymlar,1136.0,Bakalawr
2020,5. Jemgyýet baradaky ylymlar,1721.0,Hünärmen
2020,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1109.0,Bakalawr
2020,6. Bilim we pedagogika (mugallymçylyk) ylymlary,185.0,Hünärmen
2020,7. Ynsanperwer ylymlar,98.0,Bakalawr
2020,7. Ynsanperwer ylymlar,1673.0,Hünärmen
2020,8. Sungat we medeniýet,276.0,Bakalawr
2020,8. Sungat we medeniýet,282.0,Hünärmen
2021,1. Matematika we tebigy ylymlar,114.0,Bakalawr
2021,1. Matematika we tebigy ylymlar,1236.0,Hünärmen
2021,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1301.0,Bakalawr
2021,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3576.0,Hünärmen
2021,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0,Hünärmen
2021,4. Oba hojalygy we oba hojalyk ylymlary,130.0,Bakalawr
2021,4. Oba hojalygy we oba hojalyk ylymlary,591.0,Hünärmen
2021,5. Jemgyýet baradaky ylymlar,1874.0,Bakalawr
2021,5. Jemgyýet baradaky ylymlar,996.0,Hünärmen
2021,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1139.0,Bakalawr
2021,6. Bilim we pedagogika (mugallymçylyk) ylymlary,210.0,Hünärmen
2021,7. Ynsanperwer ylymlar,148.0,Bakalawr
2021,7. Ynsanperwer ylymlar,1733.0,Hünärmen
2021,8. Sungat we medeniýet,350.0,Bakalawr
2021,8. Sungat we medeniýet,289.0,Hünärmen
2022,1. Matematika we tebigy ylymlar,171.0,Bakalawr
2022,1. Matematika we tebigy ylymlar,846.0,Hünärmen
2022,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1741.0,Bakalawr
2022,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3217.0,Hünärmen
2022,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0,Hünärmen
2022,4. Oba hojalygy we oba hojalyk ylymlary,130.0,Bakalawr
2022,4. Oba hojalygy we oba hojalyk ylymlary,571.0,Hünärmen
2022,5. Jemgyýet baradaky ylymlar,2341.0,Bakalawr
2022,5. Jemgyýet baradaky ylymlar,694.0,Hünärmen
2022,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1239.0,Bakalawr
2022,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1075.0,Hünärmen
2022,7. Ynsanperwer ylymlar,199.0,Bakalawr
2022,7. Ynsanperwer ylymlar,1250.0,Hünärmen
2022,8. Sungat we medeniýet,230.0,Bakalawr
2022,8. Sungat we medeniýet,280.0,Hünärmen
2023,1. Matematika we tebigy ylymlar,249.0,Bakalawr
2023,1. Matematika we tebigy ylymlar,823.0,Hünärmen
2023,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1815.0,Bakalawr
2023,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3081.0,Hünärmen
2023,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0,Hünärmen
2023,4. Oba hojalygy we oba hojalyk ylymlary,175.0,Bakalawr
2023,4. Oba hojalygy we oba hojalyk ylymlary,591.0,Hünärmen
2023,5. Jemgyýet baradaky ylymlar,2569.0,Bakalawr
2023,5. Jemgyýet baradaky ylymlar,550.0,Hünärmen
2023,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1254.0,Bakalawr
2023,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1045.0,Hünärmen
2023,7. Ynsanperwer ylymlar,155.0,Bakalawr
2023,7. Ynsanperwer ylymlar,1318.0,Hünärmen
2023,8. Sungat we medeniýet,295.0,Bakalawr
2023,8. Sungat we medeniýet,279.0,Hünärmen
2024,1. Matematika we tebigy ylymlar,769.0,Bakalawr
2024,1. Matematika we tebigy ylymlar,1898.0,Hünärmen
2024,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1310.0,Bakalawr
2024,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2119.0,Hünärmen
2024,3. Saglygy goraýyş we lukmançylyk ylymlary,1110.0,Hünärmen
2024,4. Oba hojalygy we oba hojalyk ylymlary,184.0,Bakalawr
2024,4. Oba hojalygy we oba hojalyk ylymlary,398.0,Hünärmen
2024,5. Jemgyýet baradaky ylymlar,2642.0,Bakalawr
2024,5. Jemgyýet baradaky ylymlar,524.0,Hünärmen
2024,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1273.0,Bakalawr
2024,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1026.0,Hünärmen
2024,7. Ynsanperwer ylymlar,174.0,Bakalawr
2024,7. Ynsanperwer ylymlar,1295.0,Hünärmen
2024,8. Sungat we medeniýet,285.0,Bakalawr
2024,8. Sungat we medeniýet,296.0,Hünärmen
2025,1. Matematika we tebigy ylymlar,806.6507134992047,Bakalawr
2025,1. Matematika we tebigy ylymlar,1990.9272486625364,Hünärmen
2025,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1374.138406611129,Bakalawr
2025,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2222.7475447396814,Hünärmen
2025,3. Saglygy goraýyş we lukmançylyk ylymlary,1164.346283464392,Hünärmen
2025,4. Oba hojalygy we oba hojalyk ylymlary,193.0087532949983,Bakalawr
2025,4. Oba hojalygy we oba hojalyk ylymlary,417.4863250620072,Hünärmen
2025,5. Jemgyýet baradaky ylymlar,2771.3539467683995,Bakalawr
2025,5. Jemgyýet baradaky ylymlar,549.6553626444517,Hünärmen
2025,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1335.3268638289828,Bakalawr
2025,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1076.2335917427622,Hünärmen
2025,7. Ynsanperwer ylymlar,182.5191471376614,Bakalawr
2025,7. Ynsanperwer ylymlar,1358.403997375124,Hünärmen
2025,8. Sungat we medeniýet,298.9537754841006,Bakalawr
2025,8. Sungat we medeniýet,310.4923422571712,Hünärmen
2026,1. Matematika we tebigy ylymlar,946.8102414663715,Bakalawr
2026,1. Matematika we tebigy ylymlar,2336.8606479885216,Hünärmen
2026,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1612.90171173075,Bakalawr
2026,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2608.960860425542,Hünärmen
2026,3. Saglygy goraýyş we lukmançylyk ylymlary,1366.657175588651,Hünärmen
2026,4. Oba hojalygy we oba hojalyk ylymlary,226.54497325073132,Bakalawr
2026,4. Oba hojalygy we oba hojalyk ylymlary,490.02662692277755,Hünärmen
2026,5. Jemgyýet baradaky ylymlar,3252.8903224371315,Bakalawr
2026,5. Jemgyýet baradaky ylymlar,645.1606846923002,Hünärmen
2026,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1567.346472544462,Bakalawr
2026,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1263.2344704089692,Hünärmen
2026,7. Ynsanperwer ylymlar,214.23274644362633,Bakalawr
2026,7. Ynsanperwer ylymlar,1594.4333715200928,Hünärmen
2026,8. Sungat we medeniýet,350.89846400249144,Bakalawr
2026,8. Sungat we medeniýet,364.4419134903069,Hünärmen
2027,1. Matematika we tebigy ylymlar,1031.143734220156,Bakalawr
2027,1. Matematika we tebigy ylymlar,2545.0075520804367,Hünärmen
2027,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1756.5647488015659,Bakalawr
2027,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2841.3440478706248,Hünärmen
2027,3. Saglygy goraýyş we lukmançylyk ylymlary,1488.3869245570522,Hünärmen
2027,4. Oba hojalygy we oba hojalyk ylymlary,246.7235983049528,Bakalawr
2027,4. Oba hojalygy we oba hojalyk ylymlary,533.6738702465826,Hünärmen
2027,5. Jemgyýet baradaky ylymlar,3542.629058270029,Bakalawr
2027,5. Jemgyýet baradaky ylymlar,702.6258995206265,Hünärmen
2027,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1706.9518513163312,Bakalawr
2027,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1375.7522383743565,Hünärmen
2027,7. Ynsanperwer ylymlar,233.31470709272708,Bakalawr
2027,7. Ynsanperwer ylymlar,1736.4514119832274,Hünärmen
2027,8. Sungat we medeniýet,382.15339954843233,Bakalawr
2027,8. Sungat we medeniýet,396.9031798818806,Hünärmen
2028,1. Matematika we tebigy ylymlar,1172.1842307221746,Bakalawr
2028,1. Matematika we tebigy ylymlar,2893.115305475536,Hünärmen
2028,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1996.8287935579306,Bakalawr
2028,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3229.984895839126,Hünärmen
2028,3. Saglygy goraýyş we lukmançylyk ylymlary,1691.9694357628268,Hünärmen
2028,4. Oba hojalygy we oba hojalyk ylymlary,280.4706091714956,Bakalawr
2028,4. Oba hojalygy we oba hojalyk ylymlary,606.6701220122568,Hünärmen
2028,5. Jemgyýet baradaky ylymlar,4027.192116473323,Bakalawr
2028,5. Jemgyýet baradaky ylymlar,798.7315174231724,Hünärmen
2028,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1940.4298123658366,Bakalawr
2028,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1563.9285054888833,Hünärmen
2028,7. Ynsanperwer ylymlar,265.2276412817404,Bakalawr
2028,7. Ynsanperwer ylymlar,1973.964341723298,Hünärmen
2028,8. Sungat we medeniýet,434.4245848580231,Bakalawr
2028,8. Sungat we medeniýet,451.1918495367538,Hünärmen
2029,1. Matematika we tebigy ylymlar,1239.4371976109176,Bakalawr
2029,1. Matematika we tebigy ylymlar,3059.1050729070503,Hünärmen
2029,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2111.3949660211993,Bakalawr
2029,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3415.3022389304742,Hünärmen
2029,3. Saglygy goraýyş we lukmançylyk ylymlary,1789.0445895294133,Hünärmen
2029,4. Oba hojalygy we oba hojalyk ylymlary,296.56234637244324,Bakalawr
2029,4. Oba hojalygy we oba hojalyk ylymlary,641.4772492186544,Hünärmen
2029,5. Jemgyýet baradaky ylymlar,4258.248473456495,Bakalawr
2029,5. Jemgyýet baradaky ylymlar,844.5579864084798,Hünärmen
2029,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2051.760146370219,Bakalawr
2029,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1653.657431402863,Hünärmen
2029,7. Ynsanperwer ylymlar,280.4448275478539,Bakalawr
2029,7. Ynsanperwer ylymlar,2087.218687784315,Hünärmen
2029,8. Sungat we medeniýet,459.34928650079524,Bakalawr
2029,8. Sungat we medeniýet,477.0785572078435,Hünärmen
2030,1. Matematika we tebigy ylymlar,1261.9489372587839,Bakalawr
2030,1. Matematika we tebigy ylymlar,3114.6672079547097,Hünärmen
